Auxiliary Boilers A/B Feed Water Header Pressure 2,Auxiliary Boilers Feed Water Header Pressure,Heat Recovery System Header Mass Flow,Heat Recovery System Header Mass Flow.1,Heat Recovery System Header Pressure,Heat Recovery System Header Pressure.1,Lube Oil Cooler Outlet Temperature,Lube Oil Tank Temperature,Motor Current Phase A,Motor Current Phase B,Motor Current Phase C,Motor Input Power,Motor Power Factor,Motor Voltage,Pump Discharge Pressure,Pump Discharge Volumetric Flow,Pump Journal 1 Bearing Temperature,Pump Journal 2 Bearing Temperature,Pump Shaft Speed,Pump Suction Pressure 1,Pump Suction Pressure 2,Pump Suction Strainer Differential Pressure,Pump Suction Temperature,Pump Thrust Bearing Temperature 1,Pump Thrust Bearing Temperature 2,Pump Radial Bearing Vibration
1289.306885,1292.830444,301839,304050.8125,1780.870728,1783.046021,70.91589355,76.13790131,144.2966309,144.6124878,144,NaN,NaN,4237.450195,1789.380493,854.6098022,137.0444641,144.255661,3589.303711,25.06952667,16.86215019,0.28360045,226.7121887,98.21729279,86.29720306,9.40128231
1284.552734,1283.692993,301668.1875,304640.75,1780.557983,1783.082764,70.90858459,76.11803436,145.6115417,146.3057709,145.2959595,NaN,NaN,4240.08252,1789.383057,862.0462036,137.0422821,144.2546082,3589.304199,25.06497955,16.86156464,0.283990294,226.7114258,98.22125244,86.2906723,9.44175148
1290.717041,1286.118652,301615.7188,303118.0625,1780.245117,1783.119507,70.90126801,76.09815979,147,147,145,NaN,NaN,4232,1789.38562,860.9486694,137.0401154,144.25354,3589.304688,25.05156136,16.86098099,0.284380138,226.7106781,98.22521973,86.28414154,9.482221603
1290.127563,1288.544312,301301.0938,304451.9688,1779.932251,1783.15625,70.89395905,76.07829285,146.7277527,147,145,NaN,NaN,4235,1789.388306,862.1477661,137.0379486,144.2524872,3589.305176,25.03787804,16.86039543,0.284769982,226.7099304,98.22918701,86.27761078,9.522690773
1284.908325,1287.759888,300986.4688,302920.0625,1779.619385,1783.192993,70.88665009,76.0584259,145.3070526,146,144,NaN,NaN,4236.929688,1789.390869,860.5775757,137.0357666,144.2514343,3589.305664,25.0488739,16.85980988,0.285159826,226.7091675,98.23314667,86.27107239,9.537320137
1286.987183,1286.867798,302489.8125,304546,1779.306519,1783.229736,70.8793335,76.03855133,147,147,145,NaN,NaN,4237.842285,1789.393555,867.4780273,137.0335999,144.2503662,3589.306396,25.05986977,16.85922432,0.28554967,226.7084198,98.23711395,86.26454163,9.521697998
1298.142456,1294.465454,300764.125,303541.6563,1778.993652,1783.266479,70.87202454,76.01868439,146.6261597,146.6261597,145.6261597,NaN,NaN,4251.009277,1789.396118,854.8284302,137.0314331,144.2493134,3589.306885,25.01140976,16.85863876,0.285939515,226.7076569,98.24107361,86.25801086,9.506074905
1311.027344,1306.640137,300695.5938,301535.7188,1778.680786,1783.02832,70.86470795,75.99880981,146.6924896,146.6924896,144.6924896,NaN,NaN,4242.615234,1789.398804,855.692627,137.0292664,144.2482452,3589.307373,25.11728668,16.85805321,0.286329359,226.7069092,98.24504089,86.2514801,9.490451813
1314.986694,1310.954712,301415.3438,303432.5625,1778.368042,1782.718628,70.85739899,75.97894287,145,145.3035278,144,NaN,NaN,4235.608887,1789.401367,853.2012329,137.0270844,144.2471924,3589.307861,24.91658592,16.85746765,0.286719233,226.7061462,98.24900818,86.24494934,9.47482872
1308.266357,1309.767212,302044.3438,303595.2188,1778.055176,1782.408936,70.8500824,75.95907593,146,146,145,NaN,NaN,4234,1789.404053,856.8765259,137.0249176,144.2461395,3589.30835,24.90891647,16.856884,0.287109077,226.7053986,98.25296783,86.23841095,9.459205627
